kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
7818447,K04028.01,,FALSE POSITIVE,4.96,0.618952198,1.282,2.8244,8324.1,497.0,14.29,259.3,2661.0,5.283,0.116,290.47928,43.505268,13.593,1.7850704810772584
11569475,K04029.01,,FALSE POSITIVE,125.56,1.31723412,1.07,7.284,422.7,5471.0,211468.1,78.4,6740.0,2.816,12.08,296.61078,49.567039,13.449,4.840716504019344
5688683,K04097.02,,CANDIDATE,0.55,4.44902309,0.034,1.373,88.9,699.0,56.19,10.4,4353.0,4.681,0.603,285.69,40.99453,13.435,0.4382549309311553
8222627,K04098.01,,CANDIDATE,2.39,1.121733366,0.464,1.032,84.3,2384.0,7641.15,13.6,5023.0,3.682,2.571,287.50375,44.167259,13.875,1.220829921392359
8951205,K04099.01,Kepler-1940 b,CONFIRMED,1.28,4.95060632,0.458,1.719,309.5,885.0,145.23,17.4,5431.0,4.623,0.717,291.20419,45.238392,15.309,0.8241754429663494
5700900,K04100.01,,FALSE POSITIVE,23.99,379.08202,1.181,33.87,1609.1,253.0,0.97,23.2,5982.0,4.493,0.96,290.31039,40.98143,15.813,3.218475744846861
7026477,K04101.01,,FALSE POSITIVE,2.87,366.31509,0.4314,12.41,336.0,353.0,3.65,13.0,6705.0,4.16,1.524,289.55566,42.572048,13.974,1.3532545070416904
9402583,K04168.01,,FALSE POSITIVE,0.9,0.536544193,0.267,2.918,159.5,1745.0,2199.75,25.3,5041.0,4.597,0.728,291.24924,45.92149,15.89,0.6418538861723948
7838675,K04169.01,Kepler-1561 b,CONFIRMED,0.85,1.005205893,0.137,1.63,97.5,1682.0,1893.23,15.0,5718.0,4.549,0.863,296.92361,43.566471,14.658,0.6151856390902334
8700537,K04170.01,,FALSE POSITIVE,20.79,43.796785,1.187,18.84,256.3,542.0,20.4,21.2,6109.0,4.432,0.941,295.93921,44.837379,14.372,3.0814511489565284
10858785,K04171.01,,FALSE POSITIVE,21.96,0.952371227,1.2,3.926,352.5,1870.0,2885.01,42.6,6086.0,4.511,0.921,290.72519,48.210411,15.868,3.133753571451366
9640907,K04172.01,,FALSE POSITIVE,1.28,1.089088292,0.291,1.8599,141.7,1914.0,3167.63,1.8,6194.0,4.445,1.069,287.95279,46.33176,15.693,0.8241754429663494
7515670,K02360.02,,FALSE POSITIVE,,1.1518407,,2.53,,,,,,,,287.80408,43.168961,15.206,
9551430,K04030.01,,FALSE POSITIVE,22.2,7.7553808,1.235,22.321,839.6,822.0,107.76,55.9,5607.0,4.539,0.766,300.18863,46.185768,15.553,3.1441522786722644
3228986,K04031.01,,FALSE POSITIVE,1.27,0.730949487,0.86,2.367,87.3,2311.0,6730.38,15.8,6238.0,4.365,1.191,289.80322,38.366692,14.184,0.8197798314933114
7100673,K04032.01,Kepler-1542 b,CONFIRMED,0.83,3.95116635,0.374,2.566,60.9,1160.0,427.07,20.4,5574.0,4.354,1.065,285.72849,42.65453,12.639,0.6043159668533294
7100673,K04032.02,Kepler-1542 c,CONFIRMED,0.7,2.89223998,0.017,2.521,44.3,1287.0,647.55,17.3,5574.0,4.354,1.065,285.72849,42.65453,12.639,0.5306282510621704
4138557,K04033.01,,FALSE POSITIVE,37.93,0.991552822,1.158,1.135,607.2,2558.0,10148.8,17.3,5908.0,3.888,1.862,285.5921,39.206268,11.968,3.6617651616223643
2708278,K04102.01,,FALSE POSITIVE,0.93,1.89124187,0.198,4.415,105.8,1312.0,698.9,20.8,5285.0,4.474,0.927,290.31589,37.977779,14.486,0.6575200029167941
2984990,K07641.01,,CANDIDATE,1.36,3.79437277,0.05,2.289,83.2,1383.0,865.53,7.7,5455.0,4.025,1.507,290.32401,38.111111,14.816,0.8586616190375187
3747817,K04103.01,Kepler-1552 b,CONFIRMED,2.41,184.77271,0.04,9.568,951.4,268.0,1.21,21.0,5273.0,4.566,0.801,291.67682,38.874908,14.838,1.2267122912954254
8483366,K04104.01,,FALSE POSITIVE,2.82,392.49728,0.1658,10.53,1062.0,232.0,0.68,14.5,5737.0,4.544,0.872,286.58932,44.5247,15.814,1.3402504226184837
7758018,K04105.01,,CANDIDATE,3.14,363.41165,0.3923,14.79,961.7,263.0,1.12,17.4,6025.0,4.472,0.999,293.53253,43.406151,15.445,1.420695787837223
